pm25,HR,CorrDiff,Diffusion,Reg,LR-interp,FLAML,RF
8.238150477409e-01,9.228634283109e-03,9.791228386368e-03,1.066985497837e-02,1.056694335434e-02,1.006781357572e-02,2.910615451332e-04,3.584201899368e-17
9.877765774727e-01,1.229603904988e-02,1.297990286340e-02,1.391523900329e-02,1.384849336230e-02,1.317109622817e-02,6.396030162945e-04,1.140763454089e-15
1.151738166809e+00,1.587336387399e-02,1.670875836305e-02,1.768213032567e-02,1.764224917605e-02,1.672204452297e-02,1.211526608873e-03,2.946082358321e-14
1.315699696541e+00,1.992017997040e-02,2.093578183085e-02,2.193977479590e-02,2.190053706990e-02,2.065349743440e-02,2.027874119971e-03,6.179474919791e-13
1.479661226273e+00,2.438347617761e-02,2.559395533470e-02,2.663783140865e-02,2.655527429971e-02,2.488313144059e-02,3.094503441866e-03,1.053901331243e-11
1.643622756004e+00,2.920588417312e-02,3.059752558544e-02,3.171012434750e-02,3.152408296023e-02,2.932636235894e-02,4.456111272285e-03,1.463403406690e-10
1.807584285736e+00,3.433049758191e-02,3.584882690510e-02,3.707789228204e-02,3.671594013966e-02,3.390577167563e-02,6.235566753255e-03,1.657046964056e-09
1.971545934677e+00,3.970149050749e-02,4.124512924864e-02,4.265210954486e-02,4.203632372839e-02,3.855395191519e-02,8.609690958491e-03,1.533058514270e-08
2.135507345200e+00,4.526119431553e-02,4.668536603977e-02,4.833526661145e-02,4.739226932451e-02,4.320992695990e-02,1.174036771083e-02,1.161687142464e-07
2.299468994141e+00,5.094507255837e-02,5.207634962848e-02,5.402356788536e-02,5.269738225639e-02,4.781261817263e-02,1.573195795062e-02,7.232219956819e-07
2.463430404663e+00,5.667608311273e-02,5.733720554647e-02,5.961012804844e-02,5.787576440075e-02,5.229594148300e-02,2.063971062567e-02,3.714015172145e-06
2.627392053604e+00,6.236084923215e-02,6.240114008784e-02,6.498963427190e-02,6.286394132502e-02,5.658913024736e-02,2.646957405448e-02,1.581592215106e-05
2.791353702545e+00,6.789007878610e-02,6.721411800013e-02,7.006385419684e-02,6.761008252722e-02,6.062233981444e-02,3.312720800963e-02,5.624149727730e-05
2.955315113068e+00,7.314549913428e-02,7.173167400898e-02,7.474739923025e-02,7.207128241643e-02,6.433491783768e-02,4.037378228845e-02,1.685643627733e-04
3.119276762009e+00,7.801281777878e-02,7.591536226698e-02,7.897271023059e-02,7.621003912352e-02,6.768231421824e-02,4.786630051521e-02,4.310936547404e-04
3.283238172531e+00,8.239684374509e-02,7.972998212073e-02,8.269338569894e-02,7.999105552195e-02,7.063880992379e-02,5.526635343872e-02,9.560564802827e-04
3.447199821472e+00,8.623310740801e-02,8.314217495230e-02,8.588550063739e-02,8.337933868006e-02,7.319590763562e-02,6.232609198237e-02,1.876973758167e-03
3.611161470413e+00,8.949111901162e-02,8.612031284227e-02,8.854664070576e-02,8.634001869144e-02,7.535808012961e-02,6.890253406963e-02,3.344215159670e-03
3.775122880936e+00,9.216895502781e-02,8.863613895669e-02,9.069313205287e-02,8.884055155876e-02,7.713846217759e-02,7.494618197804e-02,5.552667960034e-03
3.939084529877e+00,9.428318799965e-02,9.066854152270e-02,9.235604388943e-02,9.085542598634e-02,7.855609825998e-02,8.051308817741e-02,8.783883690662e-03
4.103045940399e+00,9.586020917690e-02,9.220932026538e-02,9.357671034599e-02,9.237272567017e-02,7.963510048694e-02,8.576277552485e-02,1.338285518725e-02
4.267007350922e+00,9.693321297383e-02,9.326965309463e-02,9.440244812338e-02,9.340093647605e-02,8.040519982031e-02,9.088435905761e-02,1.959675555431e-02
4.430968761444e+00,9.754463164428e-02,9.388464631051e-02,9.488267213849e-02,9.397350682796e-02,8.090270357937e-02,9.598338795932e-02,2.733722615575e-02
4.594930648804e+00,9.775012590430e-02,9.411329883838e-02,9.506537606095e-02,9.414889784360e-02,8.117089912082e-02,1.010134002247e-01,3.608012860838e-02
4.758892059326e+00,9.761917498646e-02,9.403231254468e-02,9.499377914249e-02,9.400481462502e-02,8.125891557243e-02,1.057870013526e-01,4.506758872213e-02
4.922853469849e+00,9.722952318942e-02,9.372436945440e-02,9.470322525524e-02,9.362703798357e-02,8.121838432973e-02,1.100500936346e-01,5.370203084000e-02
5.086814880371e+00,9.665648416304e-02,9.326371415704e-02,9.421888696286e-02,9.309514388405e-02,8.109804253201e-02,1.135816339666e-01,6.180753475309e-02
5.250776767731e+00,9.596116692357e-02,9.270324690466e-02,9.355518691350e-02,9.246884760404e-02,8.093761039310e-02,1.162677867435e-01,6.954578042628e-02
5.414738178253e+00,9.518237703432e-02,9.206715474841e-02,9.271768076781e-02,9.177904013352e-02,8.076301402888e-02,1.181126588116e-01,7.709292753037e-02
5.578699588776e+00,9.433508256091e-02,9.135137725434e-02,9.170734735246e-02,9.102639958725e-02,8.058468377500e-02,1.191963508404e-01,8.437770644126e-02
5.742660999298e+00,9.341528099885e-02,9.053163220574e-02,9.052625952921e-02,9.018809326753e-02,8.039928091447e-02,1.196322133093e-01,9.108759656634e-02
5.906622886658e+00,9.240841631187e-02,8.957611092219e-02,8.918277528296e-02,8.923019033190e-02,8.019360835058e-02,1.195579390371e-01,9.689413758531e-02
6.070584297180e+00,9.129777383676e-02,8.845853299574e-02,8.769444048862e-02,8.812147135680e-02,7.994875762741e-02,1.191233463876e-01,1.016659958624e-01
6.234545707703e+00,9.007033115583e-02,8.716739209691e-02,8.608752824001e-02,8.684404948296e-02,7.964307751277e-02,1.184253602578e-01,1.054890970149e-01
6.398507595062e+00,8.871960914544e-02,8.570911702526e-02,8.439358772694e-02,8.539800883959e-02,7.925385589086e-02,1.174354232170e-01,1.085223355598e-01
6.562469005585e+00,8.724642879626e-02,8.410536308378e-02,8.264443535410e-02,8.379991635768e-02,7.875863043517e-02,1.160135989265e-01,1.108531956609e-01
6.726430416107e+00,8.565866507214e-02,8.238673799103e-02,8.086744883272e-02,8.207737366292e-02,7.813714285671e-02,1.140199050567e-01,1.124671364700e-01
6.890391826630e+00,8.397052664419e-02,8.058615984139e-02,7.908275609333e-02,8.026277840409e-02,7.737425800843e-02,1.114391558229e-01,1.133203843008e-01
7.054353713989e+00,8.220107053433e-02,7.873413085166e-02,7.730275654784e-02,7.838853331782e-02,7.646320477177e-02,1.084261438026e-01,1.134364245246e-01
7.218315124512e+00,8.037174685915e-02,7.685670537057e-02,7.553356029312e-02,7.648440584887e-02,7.540806780084e-02,1.052374802109e-01,1.129458287739e-01
7.382276535034e+00,7.850320996098e-02,7.497530756383e-02,7.377724462683e-02,7.457621556513e-02,7.422457750406e-02,1.021051416945e-01,1.120353182139e-01
7.546238422394e+00,7.661243677890e-02,7.310714995554e-02,7.203404457960e-02,7.268487647308e-02,7.293889945780e-02,9.916138714475e-02,1.108460878547e-01
7.710199832916e+00,7.471116922404e-02,7.126523312873e-02,7.030387789455e-02,7.082530684877e-02,7.158458679907e-02,9.646476784498e-02,1.094111208321e-01
7.874161243439e+00,7.280615558421e-02,6.945777377519e-02,6.858710529488e-02,6.900561645782e-02,7.019812336016e-02,9.404231059282e-02,1.076904424249e-01
8.038123130798e+00,7.090094968735e-02,6.768776703073e-02,6.688486680755e-02,6.722750587284e-02,6.881374813138e-02,9.185130054921e-02,1.056710632649e-01
8.202084541321e+00,6.899819269160e-02,6.595339259370e-02,6.519922096390e-02,6.548821993676e-02,6.745834815758e-02,8.972377407150e-02,1.034341297565e-01
8.366045951843e+00,6.710118520784e-02,6.424958071458e-02,6.353314941910e-02,6.378349389569e-02,6.614743624514e-02,8.742474275865e-02,1.011252637696e-01
8.530007362366e+00,6.521421109526e-02,6.257054877605e-02,6.189044653988e-02,6.211037004536e-02,6.488337529193e-02,8.480139167193e-02,9.886255680124e-02
8.693969726562e+00,6.334169048130e-02,6.091241890820e-02,6.027528747627e-02,6.046859884833e-02,6.365643712263e-02,8.187444971634e-02,9.667029448806e-02
8.857931137085e+00,6.148709895718e-02,5.927506839869e-02,5.869154760505e-02,5.886026405242e-02,6.244856494156e-02,7.879933985585e-02,9.448570033121e-02
9.021892547607e+00,5.965245603634e-02,5.766241279157e-02,5.714188800684e-02,5.728802875833e-02,6.123863173195e-02,7.575406175628e-02,9.221682943079e-02
9.185853958130e+00,5.783908179654e-02,5.608123013684e-02,5.562705884862e-02,5.575334724075e-02,6.000776660985e-02,7.284721189563e-02,8.980362760794e-02
9.349815368652e+00,5.604910327429e-02,5.453890334210e-02,5.414550893725e-02,5.425553172627e-02,5.874325483850e-02,7.010367762862e-02,8.724568458216e-02
9.513776779175e+00,5.428675948417e-02,5.304105538719e-02,5.269345302879e-02,5.279206714639e-02,5.744034863540e-02,6.752239225548e-02,8.458824702705e-02
9.677739143372e+00,5.255843484442e-02,5.158997683755e-02,5.126533761262e-02,5.135972643440e-02,5.610204699033e-02,6.513581265893e-02,8.188676144749e-02
9.841700553894e+00,5.087111007642e-02,5.018439623812e-02,4.985465104964e-02,4.995576089379e-02,5.473748218410e-02,6.300162010493e-02,7.918125639257e-02
1.000566196442e+01,4.922971427709e-02,4.882032853283e-02,4.845485962455e-02,4.857847322900e-02,5.335951487188e-02,6.114049710982e-02,7.650013100052e-02
1.016962337494e+01,4.763491992683e-02,4.749252243747e-02,4.706055515437e-02,4.722726915649e-02,5.198226324162e-02,5.949907553335e-02,7.388723851837e-02
1.033358478546e+01,4.608252229789e-02,4.619565221941e-02,4.566856437997e-02,4.590236969155e-02,5.061880206229e-02,5.797344272153e-02,7.141728828183e-02
1.049754619598e+01,4.456496937626e-02,4.492494213617e-02,4.427884973094e-02,4.460456678882e-02,4.927930153497e-02,5.644747120850e-02,6.916709694993e-02
1.066150760651e+01,4.307447256540e-02,4.367635625458e-02,4.289491268154e-02,4.333510005758e-02,4.796980288989e-02,5.481079196773e-02,6.715704097734e-02
1.082546997070e+01,4.160638776365e-02,4.244674213009e-02,4.152348528874e-02,4.209549117419e-02,4.669182648574e-02,5.298741488034e-02,6.531968244467e-02
1.098943138123e+01,4.016156272975e-02,4.123420996368e-02,4.017357581157e-02,4.088720093439e-02,4.544296404927e-02,5.098501228222e-02,6.353312998268e-02
1.115339279175e+01,3.874675040648e-02,4.003850001452e-02,3.885503879312e-02,3.971101809507e-02,4.421823064214e-02,4.890403804469e-02,6.169169149614e-02
1.131735420227e+01,3.737331775823e-02,3.886110035169e-02,3.757727280188e-02,3.856656521942e-02,4.301195233624e-02,4.687611041989e-02,5.975309036597e-02
1.148131561279e+01,3.605480817456e-02,3.770474591718e-02,3.634829589983e-02,3.745211255455e-02,4.181955807344e-02,4.499097415574e-02,5.773600947374e-02
1.164527702332e+01,3.480426751868e-02,3.657246482644e-02,3.517435067517e-02,3.636488908007e-02,4.063886934460e-02,4.327448187216e-02,5.569211095381e-02
1.180923843384e+01,3.363195644675e-02,3.546662067390e-02,3.405983723230e-02,3.530177956941e-02,3.947068089717e-02,4.170885158805e-02,5.367856371923e-02
1.197320079803e+01,3.254371589789e-02,3.438841867591e-02,3.300723368459e-02,3.426012531490e-02,3.831870693747e-02,4.025693359351e-02,5.173399329833e-02
1.213716220856e+01,3.154007171397e-02,3.333809232307e-02,3.201681357595e-02,3.323838596774e-02,3.718915465332e-02,3.887880217510e-02,4.986549521001e-02
1.230112361908e+01,3.061602130445e-02,3.231549310034e-02,3.108613471074e-02,3.223642435216e-02,3.608999588890e-02,3.754570716730e-02,4.806380947650e-02
1.246508502960e+01,2.976172966440e-02,3.132084934343e-02,3.020977392954e-02,3.125554002639e-02,3.503010104017e-02,3.624974721927e-02,4.633765797968e-02
1.262904644012e+01,2.896407730264e-02,3.035530572426e-02,2.937964675738e-02,3.029824820064e-02,3.401809324050e-02,3.500317334247e-02,4.473050709654e-02
1.279300785065e+01,2.820887418481e-02,2.942114541024e-02,2.858616897402e-02,2.936793038236e-02,3.306100267366e-02,3.382285087397e-02,4.330048499847e-02
1.295696926117e+01,2.748317747348e-02,2.852164747957e-02,2.782006790965e-02,2.846840900450e-02,3.216292370513e-02,3.270542434858e-02,4.208070632190e-02
1.312093162537e+01,2.677700471155e-02,2.766056413601e-02,2.707428562041e-02,2.760348323401e-02,3.132399782576e-02,3.161855504873e-02,4.105137899333e-02
1.328489303589e+01,2.608396161997e-02,2.684131390541e-02,2.634533606967e-02,2.677650692187e-02,3.054004664905e-02,3.052429632966e-02,4.014390633830e-02
1.344885444641e+01,2.540070228778e-02,2.606604828505e-02,2.563360040581e-02,2.598999733029e-02,2.980291109014e-02,2.940734553682e-02,3.927480689619e-02
1.361281585693e+01,2.472578404357e-02,2.533505579610e-02,2.494260350704e-02,2.524543137394e-02,2.910151982954e-02,2.827756978681e-02,3.838797721013e-02
1.377677726746e+01,2.405855458104e-02,2.464671727907e-02,2.427754023665e-02,2.454317706822e-02,2.842339901094e-02,2.716014632449e-02,3.747978470148e-02
1.394073867798e+01,2.339860927159e-02,2.399803448649e-02,2.364358736003e-02,2.388257024485e-02,2.775639490442e-02,2.609246044978e-02,3.659329732576e-02
1.410470008850e+01,2.274587796742e-02,2.338539716480e-02,2.304445887000e-02,2.326207512178e-02,2.709036233946e-02,2.511580044120e-02,3.578601933222e-02
1.426866245270e+01,2.210099391309e-02,2.280517068964e-02,2.248149155992e-02,2.267946173175e-02,2.641859378293e-02,2.425484377511e-02,3.509260923799e-02
1.443262386322e+01,2.146551047899e-02,2.225393640797e-02,2.195339064623e-02,2.213198383675e-02,2.573879401228e-02,2.350107176948e-02,3.450709172015e-02
1.459658527374e+01,2.084165989124e-02,2.172849065856e-02,2.145656289897e-02,2.161651455751e-02,2.505333519461e-02,2.281261444276e-02,3.399082146389e-02
1.476054668427e+01,2.023181539715e-02,2.122598435743e-02,2.098597397812e-02,2.112973832235e-02,2.436873978253e-02,2.213189164209e-02,3.349259818298e-02
1.492450809479e+01,1.963791119740e-02,2.074429908604e-02,2.053625224179e-02,2.066835877720e-02,2.369437076156e-02,2.141470270706e-02,3.296624081133e-02
1.508846950531e+01,1.906115085068e-02,2.028248271482e-02,2.010275340593e-02,2.022930810073e-02,2.304061332325e-02,2.065259130653e-02,3.238204267699e-02
1.525243091583e+01,1.850213207858e-02,1.984083113069e-02,1.968227380680e-02,1.980989024490e-02,2.241697820863e-02,1.987219962200e-02,3.173415717001e-02
1.541639328003e+01,1.796129863112e-02,1.942032839543e-02,1.927321202742e-02,1.940780835300e-02,2.183057523858e-02,1.911666716175e-02,3.104178654659e-02
1.558035469055e+01,1.743949550477e-02,1.902156963427e-02,1.887519968479e-02,1.902108989682e-02,2.128526651662e-02,1.842539494816e-02,3.033709288522e-02
1.574431610107e+01,1.693828792722e-02,1.864362491656e-02,1.848838505503e-02,1.864791415325e-02,2.078148799729e-02,1.782075996402e-02,2.964107437009e-02
1.590827751160e+01,1.645988543349e-02,1.828348213673e-02,1.811275090626e-02,1.828643777534e-02,2.031665544447e-02,1.730379620623e-02,2.894740342850e-02
1.607223892212e+01,1.600659284916e-02,1.793634673735e-02,1.774771922465e-02,1.793462173881e-02,1.988590146237e-02,1.685915661849e-02,2.823435453261e-02
1.623620033264e+01,1.558003158080e-02,1.759665950638e-02,1.739216442224e-02,1.759010890137e-02,1.948301367197e-02,1.646528022945e-02,2.749579031362e-02
1.640016174316e+01,1.518053759250e-02,1.725931824468e-02,1.704472162878e-02,1.725020247944e-02,1.910145649916e-02,1.610202490467e-02,2.675836707148e-02
1.656412315369e+01,1.480711102737e-02,1.692056824384e-02,1.670414206418e-02,1.691201906540e-02,1.873532299836e-02,1.575234965876e-02,2.606740252836e-02
1.672808456421e+01,1.445799943862e-02,1.657832191532e-02,1.636946061682e-02,1.657286994808e-02,1.837999995216e-02,1.540208372267e-02,2.545896448087e-02
1.689204597473e+01,1.413159659379e-02,1.623204042553e-02,1.603988682965e-02,1.623083097381e-02,1.803235340407e-02,1.504324886205e-02,2.494615724509e-02
1.705600738525e+01,1.382710094446e-02,1.588248335187e-02,1.571451963839e-02,1.588532047358e-02,1.769040272368e-02,1.467994481315e-02,2.452446697836e-02
1.721996879578e+01,1.354449401904e-02,1.553151689042e-02,1.539210858395e-02,1.553741178951e-02,1.735267762776e-02,1.432785453746e-02,2.417899111929e-02
1.738393020630e+01,1.328381909977e-02,1.518192657190e-02,1.507107082684e-02,1.518966121132e-02,1.701760296675e-02,1.400167073222e-02,2.388365248689e-02
1.754789161682e+01,1.304418764456e-02,1.483705726551e-02,1.474983325086e-02,1.484544181952e-02,1.668322996658e-02,1.370001836422e-02,2.360279047888e-02
1.771185302734e+01,1.282311094554e-02,1.450021134775e-02,1.442738439965e-02,1.450802323402e-02,1.634744158192e-02,1.340381987007e-02,2.330482015405e-02
1.787581443787e+01,1.261654351845e-02,1.417395834532e-02,1.410379955553e-02,1.417976753399e-02,1.600851119381e-02,1.309076969734e-02,2.297718546819e-02
1.803977584839e+01,1.241959829105e-02,1.385963449793e-02,1.378051072811e-02,1.386174605937e-02,1.566571663582e-02,1.275195512199e-02,2.262479869925e-02
1.820373725891e+01,1.222754764808e-02,1.355723717449e-02,1.346021489916e-02,1.355387772235e-02,1.531968447255e-02,1.239600291050e-02,2.225263383331e-02
1.836770057678e+01,1.203665755997e-02,1.326572440269e-02,1.314646005551e-02,1.325546935518e-02,1.497226101518e-02,1.204072101109e-02,2.185179992785e-02
1.853166198730e+01,1.184461211343e-02,1.298359600426e-02,1.284306488010e-02,1.296592499212e-02,1.462595223477e-02,1.170170297387e-02,2.140455041578e-02
1.869562339783e+01,1.165050233939e-02,1.270951060336e-02,1.255345824681e-02,1.268527999165e-02,1.428310430937e-02,1.138432972639e-02,2.090369039416e-02
1.885958480835e+01,1.145457475720e-02,1.244282479971e-02,1.228011614482e-02,1.241438603685e-02,1.394525397691e-02,1.108392483546e-02,2.036690002490e-02
1.902354621887e+01,1.125783621564e-02,1.218384346351e-02,1.202412104544e-02,1.215458488433e-02,1.361289122711e-02,1.079444399819e-02,1.983088875874e-02
1.918750762939e+01,1.106157112500e-02,1.193368185144e-02,1.178494595809e-02,1.190698791946e-02,1.328576335913e-02,1.051457018001e-02,1.933129504196e-02
1.935146903992e+01,1.086678966349e-02,1.169372793010e-02,1.156053009156e-02,1.167166653433e-02,1.296355814176e-02,1.024314408258e-02,1.888748349286e-02
1.951543045044e+01,1.067370794215e-02,1.146487876392e-02,1.134766478668e-02,1.144716551161e-02,1.264661661774e-02,9.973909361856e-03,1.850134955796e-02
1.967939186096e+01,1.048145878998e-02,1.124687867347e-02,1.114262359722e-02,1.123065323994e-02,1.233631435149e-02,9.700666759671e-03,1.816339547406e-02
1.984335327148e+01,1.028822434712e-02,1.103808782944e-02,1.094189707773e-02,1.101873457325e-02,1.203492590241e-02,9.426658589807e-03,1.785832884454e-02
2.000731468201e+01,1.009182437255e-02,1.083582244505e-02,1.074286704365e-02,1.080861039402e-02,1.174504924026e-02,9.165606054035e-03,1.756939947793e-02
