Month,Model,RMSE,R2
Jan,LR-interp,3.8914,0.9238
Feb,LR-interp,6.1313,0.8663
Mar,LR-interp,4.5858,0.8135
Apr,LR-interp,2.8833,0.7007
May,LR-interp,2.6328,0.6777
Jun,LR-interp,3.893,0.3719
Jul,LR-interp,2.9302,0.4421
Aug,LR-interp,3.42,0.5303
Sep,LR-interp,3.1466,0.6204
Oct,LR-interp,4.1326,0.7864
Nov,LR-interp,5.9507,0.8127
Dec,LR-interp,6.0756,0.7414
Jan,FLAML,8.7835,0.6118
Feb,FLAML,15.7915,0.113
Mar,FLAML,8.1197,0.4152
Apr,FLAML,4.7375,0.1918
May,FLAML,4.0341,0.2432
Jun,FLAML,4.3955,0.1993
Jul,FLAML,3.5662,0.1736
Aug,FLAML,4.2108,0.2879
Sep,FLAML,4.4858,0.2285
Oct,FLAML,7.0222,0.3831
Nov,FLAML,11.0305,0.3566
Dec,FLAML,9.3905,0.3823
Jan,RF,8.5914,0.6286
Feb,RF,15.4071,0.1557
Mar,RF,8.7569,0.3198
Apr,RF,5.871,-0.2412
May,RF,5.104,-0.2114
Jun,RF,4.8701,0.0171
Jul,RF,3.9233,-0.0001
Aug,RF,4.4888,0.1908
Sep,RF,5.1668,-0.0236
Oct,RF,7.5409,0.2886
Nov,RF,10.8221,0.3806
Dec,RF,10.1702,0.2755
Jan,reg,2.7825,0.961
Feb,reg,3.6432,0.9528
Mar,reg,2.9978,0.9203
Apr,reg,2.5473,0.7663
May,reg,2.5103,0.707
Jun,reg,2.9499,0.6394
Jul,reg,2.4303,0.6162
Aug,reg,2.7694,0.692
Sep,reg,2.7228,0.7157
Oct,reg,2.8819,0.8961
Nov,reg,3.9375,0.918
Dec,reg,3.3466,0.9215
Jan,CorrDiff,2.7653,0.9615
Feb,CorrDiff,3.6353,0.953
Mar,CorrDiff,2.9295,0.9239
Apr,CorrDiff,2.4695,0.7804
May,CorrDiff,2.3296,0.7476
Jun,CorrDiff,2.7249,0.6923
Jul,CorrDiff,2.2292,0.6771
Aug,CorrDiff,2.5166,0.7457
Sep,CorrDiff,2.472,0.7657
Oct,CorrDiff,2.6484,0.9123
Nov,CorrDiff,3.7231,0.9267
Dec,CorrDiff,3.2745,0.9249
Jan,Diffusion,3.6453,0.9331
Feb,Diffusion,5.0162,0.9105
Mar,Diffusion,4.5385,0.8173
Apr,Diffusion,2.7318,0.7313
May,Diffusion,2.2813,0.758
Jun,Diffusion,3.2466,0.5632
Jul,Diffusion,2.1791,0.6915
Aug,Diffusion,2.6624,0.7153
Sep,Diffusion,2.5119,0.7581
Oct,Diffusion,3.8343,0.8161
Nov,Diffusion,5.9545,0.8125
Dec,Diffusion,4.8057,0.8382
